genus,compound,R,
Harryflintia,4-Aminobutyric acid,-0.612102243,
Harryflintia,Threonine,-0.702878609,
Harryflintia,Fumaric acid,-0.663346614,
Harryflintia,Niacin,-0.582243597,
Harryflintia,Taurine,-0.830674462,
Harryflintia,Galactose-talose,-0.639513838,
Harryflintia,Maltose,-0.641960889,
Faecalitalea,Serine,0.606168341,
Faecalitalea,4-Hydroxyproline,0.579559416,
Faecalitalea,Adenine,0.70049505,
Family XIII AD3011 group,omega-MCA,-0.652602405,
Family XIII AD3011 group,Niacin,-0.609095578,
Family XIII AD3011 group,Sucrose,-0.775871749,
Family XIII AD3011 group,Maltose,-0.645351268,
Lachnospiraceae UCG-001,5-Hydroxy-3-indoleacetate,0.604267319,
Anaerofustis,Butyric acid,0.650443636,
Anaerofustis,DCA,-0.639692501,
Anaerofustis,omega-MCA,-0.650443636,
Anaerofustis,alpha-MCA,-0.650443636,
Anaerofustis,Proline,0.631194403,
Anaerofustis,Leucine,0.670311818,
Anaerofustis,Isoleucine,0.631194403,
Anaerofustis,4-Aminobutyric acid,0.591312396,
Anaerofustis,Serine,0.853765578,
Anaerofustis,Threonine,0.601929265,
Anaerofustis,4-Hydroxyproline,0.694313843,
Anaerofustis,Lysine,0.776150526,
Anaerofustis,Adenine,0.773957299,
Anaerofustis,3-Indoleacetic acid,0.604267319,
Anaerofustis,Glucose,0.650443636,
uncultured Firmicutes bacterium,3-Indoleacetic acid,1,
uncultured Firmicutes bacterium,Mannose,0.630547668,
