	genus	compound	R	pval	qval
1579	Ruminococcaceae UCG-010	Butyric acid	-0.664335664	0.018452718	0.146145527
1589	Ruminococcaceae UCG-010	alpha-MCA	0.643356643	0.024003191	0.165789483
1590	Ruminococcaceae UCG-010	UDCA	0.650443636	0.022008557	0.158454109
1591	Ruminococcaceae UCG-010	Alanine	-0.742558056	0.005670529	0.088639318
1592	Ruminococcaceae UCG-010	Proline	-0.877097726	0.00017904	0.026587452
1593	Ruminococcaceae UCG-010	Valine	-0.654907955	0.020815767	0.15691073
1594	Ruminococcaceae UCG-010	Leucine	-0.660884295	0.019293714	0.149614439
1595	Ruminococcaceae UCG-010	Isoleucine	-0.794986449	0.001998495	0.055995558
1596	Ruminococcaceae UCG-010	Glycine	-0.629370629	0.028319671	0.174500879
1597	Ruminococcaceae UCG-010	4-Aminobutyric acid	-0.657342657	0.020185499	0.153720335
1598	Ruminococcaceae UCG-010	Serine	-0.605810604	0.03681569	0.205918265
1599	Ruminococcaceae UCG-010	Threonine	-0.839990637	0.000627337	0.040504137
1601	Ruminococcaceae UCG-010	4-Hydroxyproline	-0.675551865	0.015904516	0.138523202
1602	Ruminococcaceae UCG-010	Lysine	-0.624168501	0.030059525	0.182197527
1604	Ruminococcaceae UCG-010	Pyruvic acid	-0.669002777	0.017358586	0.140860656
1605	Ruminococcaceae UCG-010	Fumaric acid	-0.742733819	0.005653031	0.088639318
1606	Ruminococcaceae UCG-010	Adenine	-0.765524548	0.003707061	0.070223948
1610	Ruminococcaceae UCG-010	Hydroxypropionic acid	-0.701819726	0.010957379	0.116471677
1612	Ruminococcaceae UCG-010	Taurine	-0.669030674	0.017352193	0.140860656
1613	Ruminococcaceae UCG-010	Arabinose	-0.8320919	0.000787114	0.046324428
1617	Ruminococcaceae UCG-010	Mannose	-0.734315883	0.006537925	0.09434061
1618	Ruminococcaceae UCG-010	Galactose-talose	-0.594945708	0.041289495	0.221013965
1621	Ruminiclostridium 5	Acetic acid 	-0.762237762	0.003950449	0.073195663
1622	Ruminiclostridium 5	Propionic acid	-0.804195804	0.001614769	0.053503701
1624	Ruminiclostridium 5	Butyric acid	-0.706293706	0.010245194	0.113538157
1636	Ruminiclostridium 5	Alanine	-0.781087012	0.002705296	0.067286671
1638	Ruminiclostridium 5	Valine	-0.736771449	0.006269748	0.094046218
1639	Ruminiclostridium 5	Leucine	-0.642526398	0.024245157	0.166591021
1640	Ruminiclostridium 5	Isoleucine	-0.727804496	0.007290796	0.09929289
1641	Ruminiclostridium 5	Glycine	-0.769230769	0.00344645	0.070223948
1642	Ruminiclostridium 5	4-Aminobutyric acid	-0.797202797	0.001900368	0.054270117
1643	Ruminiclostridium 5	Serine	-0.624168501	0.030059525	0.182197527
1644	Ruminiclostridium 5	Threonine	-0.715415755	0.008900465	0.108783462
1646	Ruminiclostridium 5	4-Hydroxyproline	-0.79871878	0.001835405	0.054270117
1647	Ruminiclostridium 5	Lysine	-0.605810604	0.03681569	0.205918265
1649	Ruminiclostridium 5	Pyruvic acid	-0.637479086	0.025754387	0.168495144
1650	Ruminiclostridium 5	Fumaric acid	-0.858436072	0.000351313	0.030989243
1651	Ruminiclostridium 5	Adenine	-0.669833979	0.017168835	0.140086374
1657	Ruminiclostridium 5	Taurine	-0.866218663	0.000268443	0.027492257
1658	Ruminiclostridium 5	Arabinose	-0.678154898	0.015352227	0.135702718
1661	Ruminiclostridium 5	Glucose	-0.678321678	0.015317329	0.135702718
1662	Ruminiclostridium 5	Mannose	-0.614989552	0.033314998	0.194774691
1663	Ruminiclostridium 5	Galactose-talose	-0.778005926	0.002884909	0.068709632
1666	Ruminococcaceae UCG-004	Acetic acid 	-0.651489616	0.021724735	0.158454109
1667	Ruminococcaceae UCG-004	Propionic acid	-0.65849488	0.019892134	0.153109925
1669	Ruminococcaceae UCG-004	Butyric acid	-0.588442233	0.044144774	0.228734256
1680	Ruminococcaceae UCG-004	UDCA	0.592348878	0.042413399	0.224942491
1681	Ruminococcaceae UCG-004	Alanine	-0.845614035	0.000529834	0.035763821
1683	Ruminococcaceae UCG-004	Valine	-0.866421663	0.000266507	0.027492257
1686	Ruminococcaceae UCG-004	Glycine	-0.819615968	0.00110155	0.047611899
1687	Ruminococcaceae UCG-004	4-Aminobutyric acid	-0.753065953	0.004693893	0.078794979
1689	Ruminococcaceae UCG-004	Threonine	-0.702407686	0.010861747	0.116471677
1691	Ruminococcaceae UCG-004	4-Hydroxyproline	-0.755252339	0.0045078	0.07738824
1694	Ruminococcaceae UCG-004	Pyruvic acid	-0.652631579	0.021417923	0.158454109
1695	Ruminococcaceae UCG-004	Fumaric acid	-0.800118814	0.001776934	0.054270117
1697	Ruminococcaceae UCG-004	Niacin	-0.630473822	0.02796026	0.174500879
1702	Ruminococcaceae UCG-004	Taurine	-0.924175194	1.74E-05	0.006445901
1706	Ruminococcaceae UCG-004	Glucose	-0.781087012	0.002705296	0.067286671
1708	Ruminococcaceae UCG-004	Galactose-talose	-0.639749957	0.025067181	0.167356898
1709	Ruminococcaceae UCG-004	Maltose	-0.581436969	0.047373596	0.239285001
1742	Acetatifactor	Niacin	0.595447498	0.041074783	0.221013965
1749	Acetatifactor	Sucrose	0.640981719	0.024700038	0.166591021
1764	Anaerotruncus	beta-MCA	0.714536998	0.009023925	0.108845547
1766	Anaerotruncus	CA	0.589073501	0.043861677	0.228734256
1771	Anaerotruncus	Alanine	-0.649122807	0.022370803	0.159714628
1772	Anaerotruncus	Proline	-0.721602482	0.008066615	0.103266576
1773	Anaerotruncus	Valine	-0.666752474	0.017880016	0.144696587
1775	Anaerotruncus	Isoleucine	-0.766468957	0.003639279	0.070223948
1776	Anaerotruncus	Glycine	-0.704029101	0.010601235	0.116471677
1777	Anaerotruncus	4-Aminobutyric acid	-0.707531733	0.010054355	0.113538157
1779	Anaerotruncus	Threonine	-0.688145601	0.013362851	0.128024735
1787	Anaerotruncus	Niacin	-0.602452763	0.038159476	0.211443363
1792	Anaerotruncus	Taurine	-0.677258157	0.015540869	0.136962553
1796	Anaerotruncus	Glucose	-0.690018571	0.013012243	0.125069134
1799	Anaerotruncus	Maltose	-0.647986983	0.022685764	0.160431054
1800	A2	Formic acid 	0.619965924	0.031520226	0.188360305
1853	Akkermansia	HDCA	-0.706637099	0.010191993	0.113538157
1855	Akkermansia	omega-MCA	-0.640860962	0.024735858	0.166591021
1858	Akkermansia	HCA	-0.691602267	0.012721135	0.123067658
1898	Lachnospiraceae UCG-006	HDCA	0.620186815	0.031442206	0.188272887
1900	Lachnospiraceae UCG-006	omega-MCA	0.633818534	0.026890701	0.172123666
1903	Lachnospiraceae UCG-006	HCA	0.661532603	0.019133644	0.149544534
1922	Lachnospiraceae UCG-006	Niacin	0.802836809	0.001667506	0.054270117
1929	Lachnospiraceae UCG-006	Sucrose	0.577479108	0.049269593	0.24429164
1934	Lachnospiraceae UCG-006	Maltose	0.640860962	0.024735858	0.166591021
1936	Lachnospiraceae FCS020 group	Acetic acid 	-0.651348672	0.021762823	0.158454109
1937	Lachnospiraceae FCS020 group	Propionic acid	-0.637111543	0.025866881	0.168495144
1939	Lachnospiraceae FCS020 group	Butyric acid	-0.672704366	0.016525263	0.139013541
1951	Lachnospiraceae FCS020 group	Alanine	-0.752324983	0.004758259	0.079393424
1952	Lachnospiraceae FCS020 group	Proline	-0.624992061	0.029779091	0.182197527
1953	Lachnospiraceae FCS020 group	Valine	-0.717391304	0.00862752	0.106765557
1955	Lachnospiraceae FCS020 group	Isoleucine	-0.699079265	0.011411393	0.117679994
1956	Lachnospiraceae FCS020 group	Glycine	-0.758127143	0.00427167	0.075052573
1957	Lachnospiraceae FCS020 group	4-Aminobutyric acid	-0.715415755	0.008900465	0.108783462
1959	Lachnospiraceae FCS020 group	Threonine	-0.717391304	0.00862752	0.106765557
1961	Lachnospiraceae FCS020 group	4-Hydroxyproline	-0.615493701	0.033129917	0.194308888
1964	Lachnospiraceae FCS020 group	Pyruvic acid	-0.709538728	0.009750622	0.111382103
1965	Lachnospiraceae FCS020 group	Fumaric acid	-0.759868767	0.004133248	0.073950275
1970	Lachnospiraceae FCS020 group	Hydroxypropionic acid	-0.658854671	0.01980117	0.153109925
1972	Lachnospiraceae FCS020 group	Taurine	-0.9104469	3.90E-05	0.012859351
1973	Lachnospiraceae FCS020 group	Arabinose	-0.641626669	0.024509365	0.166591021
1976	Lachnospiraceae FCS020 group	Glucose	-0.594400154	0.041523836	0.221013965
1977	Lachnospiraceae FCS020 group	Mannose	-0.672750311	0.016515109	0.139013541
1978	Lachnospiraceae FCS020 group	Galactose-talose	-0.81315063	0.001298506	0.047611899
1979	Lachnospiraceae FCS020 group	Maltose	-0.640670825	0.024792334	0.166591021
2026	Peptococcus	Acetic acid 	-0.672704366	0.016525263	0.139013541
2027	Peptococcus	Propionic acid	-0.640670825	0.024792334	0.166591021
2029	Peptococcus	Butyric acid	-0.597959437	0.040011845	0.218046204
2041	Peptococcus	Alanine	-0.820069887	0.001088643	0.047611899
2042	Peptococcus	Proline	-0.721875328	0.00803124	0.103258794
2043	Peptococcus	Valine	-0.800724638	0.00175208	0.054270117
2045	Peptococcus	Isoleucine	-0.801661549	0.001714169	0.054270117
2046	Peptococcus	Glycine	-0.736771449	0.006269748	0.094046218
2047	Peptococcus	4-Aminobutyric acid	-0.747449296	0.005198584	0.084370464
2049	Peptococcus	Threonine	-0.721014493	0.008143245	0.103800161
2051	Peptococcus	4-Hydroxyproline	-0.647788124	0.022741237	0.160431054
2054	Peptococcus	Pyruvic acid	-0.71310425	0.009227952	0.108845547
2055	Peptococcus	Fumaric acid	-0.74277172	0.005649263	0.088639318
2056	Peptococcus	Adenine	-0.590804755	0.043091877	0.225321961
2057	Peptococcus	Niacin	-0.580163025	0.047978163	0.240181947
2060	Peptococcus	Hydroxypropionic acid	-0.686637699	0.013650156	0.129332644
2062	Peptococcus	Taurine	-0.828004858	0.00088125	0.046324428
2063	Peptococcus	Arabinose	-0.679743105	0.01502227	0.135311834
2066	Peptococcus	Glucose	-0.715415755	0.008900465	0.108783462
2067	Peptococcus	Mannose	-0.672750311	0.016515109	0.139013541
2068	Peptococcus	Galactose-talose	-0.654332148	0.0209669	0.157649855
2086	[Eubacterium] oxidoreducens group	Alanine	-0.641984295	0.024404098	0.166591021
2088	[Eubacterium] oxidoreducens group	Valine	-0.6559519	0.020543789	0.156048733
2091	[Eubacterium] oxidoreducens group	Glycine	-0.661988246	0.019021727	0.149062081
2092	[Eubacterium] oxidoreducens group	4-Aminobutyric acid	-0.612691249	0.034168139	0.198290647
2094	[Eubacterium] oxidoreducens group	Threonine	-0.648783027	0.022464687	0.160000292
2100	[Eubacterium] oxidoreducens group	Fumaric acid	-0.582599736	0.046826494	0.237734506
2107	[Eubacterium] oxidoreducens group	Taurine	-0.744680851	0.005461904	0.086747894
2112	[Eubacterium] oxidoreducens group	Mannose	-0.610092004	0.035151708	0.20232669
2113	[Eubacterium] oxidoreducens group	Galactose-talose	-0.666188123	0.018012566	0.145373151
2118	Ruminococcaceae UCG-005	Isobutyric acid	-0.662026519	0.019012348	0.149062081
2120	Ruminococcaceae UCG-005	Isovaleric acid	-0.679822931	0.015005825	0.135311834
2131	Ruminococcaceae UCG-005	Alanine	0.584745485	0.045828602	0.233066693
2132	Ruminococcaceae UCG-005	Proline	0.586998622	0.044797026	0.228996845
2137	Ruminococcaceae UCG-005	4-Aminobutyric acid	0.58728159	0.044668642	0.228734256
2139	Ruminococcaceae UCG-005	Threonine	0.701086957	0.011077439	0.117081828
2140	Ruminococcaceae UCG-005	Tyrosine	0.651178024	0.021809004	0.158454109
2150	Ruminococcaceae UCG-005	Hydroxypropionic acid	0.587412598	0.044609292	0.228734256
2161	Erysipelatoclostridium	Acetic acid 	0.70336037	0.01070811	0.116471677
2162	Erysipelatoclostridium	Propionic acid	0.645351268	0.023429051	0.164113871
2164	Erysipelatoclostridium	Butyric acid	0.630848992	0.027838786	0.174500879
2168	Erysipelatoclostridium	HDCA	-0.654047102	0.021042012	0.157815088
2170	Erysipelatoclostridium	omega-MCA	-0.768620611	0.003488367	0.070223948
2174	Erysipelatoclostridium	alpha-MCA	-0.681606957	0.014641746	0.132984666
2176	Erysipelatoclostridium	Alanine	0.653746319	0.021121483	0.158012102
2177	Erysipelatoclostridium	Proline	0.77789034	0.00289182	0.068709632
2179	Erysipelatoclostridium	Leucine	0.78045701	0.002741309	0.067286671
2180	Erysipelatoclostridium	Isoleucine	0.770150138	0.003384015	0.070223948
2183	Erysipelatoclostridium	Serine	0.761421473	0.00401273	0.073195663
2184	Erysipelatoclostridium	Threonine	0.586815754	0.044880132	0.229027479
2185	Erysipelatoclostridium	Tyrosine	0.674453273	0.016141937	0.139013541
2186	Erysipelatoclostridium	4-Hydroxyproline	0.623086292	0.030430914	0.18405537
2187	Erysipelatoclostridium	Lysine	0.78045701	0.002741309	0.067286671
2189	Erysipelatoclostridium	Pyruvic acid	0.661010167	0.019262559	0.149614439
2190	Erysipelatoclostridium	Fumaric acid	0.599865685	0.039218363	0.215302291
2191	Erysipelatoclostridium	Adenine	0.806724234	0.001520066	0.052495292
2198	Erysipelatoclostridium	Arabinose	0.798096168	0.001861876	0.054270117
2200	Erysipelatoclostridium	Fructose	0.593984962	0.041702811	0.221569497
2202	Erysipelatoclostridium	Mannose	0.618654947	0.031986135	0.189997644
2258	Ruminococcus 1	HDCA	0.701688795	0.01097876	0.116471677
2260	Ruminococcus 1	omega-MCA	0.782166386	0.002644434	0.067286671
2263	Ruminococcus 1	HCA	0.870449391	0.0002303	0.027238744
2282	Ruminococcus 1	Niacin	0.753043169	0.004695862	0.078794979
2289	Ruminococcus 1	Sucrose	0.815450062	0.00122559	0.047611899
2294	Ruminococcus 1	Maltose	0.74472225	0.005457894	0.086747894
2356	Gordonibacter	Alanine	0.603508772	0.037733163	0.209471951
2357	Gordonibacter	Proline	0.579525309	0.048282831	0.240604039
2358	Gordonibacter	Valine	0.591876527	0.042620137	0.225321961
2360	Gordonibacter	Isoleucine	0.635608404	0.026330652	0.169635655
2364	Gordonibacter	Threonine	0.634662782	0.026625474	0.171163762
2366	Gordonibacter	4-Hydroxyproline	0.729080228	0.007138415	0.09929289
2370	Gordonibacter	Fumaric acid	0.631869531	0.02751028	0.174500879
2371	Gordonibacter	Adenine	0.633498328	0.026991793	0.172399196
2381	Gordonibacter	Glucose	0.746060689	0.005329435	0.085559034
2419	Butyricicoccus	3-Indoleacetic acid	1	0	0
2427	Butyricicoccus	Mannose	0.630547668	0.027936319	0.174500879
2433	Ruminiclostridium 6	Isobutyric acid	-0.670063243	0.017116767	0.140086374
2438	Ruminiclostridium 6	HDCA	0.627074391	0.029078439	0.178523555
2440	Ruminiclostridium 6	omega-MCA	0.697600089	0.011662174	0.118101659
2442	Ruminiclostridium 6	LCA	0.630547668	0.027936319	0.174500879
2443	Ruminiclostridium 6	HCA	0.813237101	0.001295705	0.047611899
2462	Ruminiclostridium 6	Niacin	0.596631655	0.040571236	0.219084674
2469	Ruminiclostridium 6	Sucrose	0.624168501	0.030059525	0.182197527
2488	Harryflintia	HCA	-0.651394422	0.021750454	0.158454109
2490	Harryflintia	UDCA	0.694313843	0.012233935	0.120028493
2491	Harryflintia	Alanine	-0.714124736	0.009082284	0.108845547
2493	Harryflintia	Valine	-0.725674672	0.007550613	0.099812292
2496	Harryflintia	Glycine	-0.675551865	0.015904516	0.138523202
2497	Harryflintia	4-Aminobutyric acid	-0.612102243	0.034389274	0.198322609
2499	Harryflintia	Threonine	-0.702878609	0.010785599	0.116471677
2505	Harryflintia	Fumaric acid	-0.663346614	0.01869092	0.147638386
2507	Harryflintia	Niacin	-0.582243597	0.046993588	0.238175691
2512	Harryflintia	Taurine	-0.830674462	0.000818834	0.046324428
2518	Harryflintia	Galactose-talose	-0.639513838	0.025138009	0.167356898
2519	Harryflintia	Maltose	-0.641960889	0.024410978	0.166591021
2543	Faecalitalea	Serine	0.606168341	0.036674544	0.205918265
2546	Faecalitalea	4-Hydroxyproline	0.579559416	0.048266502	0.240604039
2551	Faecalitalea	Adenine	0.70049505	0.01117513	0.117279638
2575	Family XIII AD3011 group	omega-MCA	-0.652602405	0.021425722	0.158454109
2597	Family XIII AD3011 group	Niacin	-0.609095578	0.035534073	0.203270962
2604	Family XIII AD3011 group	Sucrose	-0.775871749	0.003014547	0.068960472
2609	Family XIII AD3011 group	Maltose	-0.645351268	0.023429051	0.164113871
2736	Lachnospiraceae UCG-001	5-Hydroxy-3-indoleacetate	0.604267319	0.037429038	0.20817274
2749	Anaerofustis	Butyric acid	0.650443636	0.022008557	0.158454109
2752	Anaerofustis	DCA	-0.639692501	0.025084403	0.167356898
2755	Anaerofustis	omega-MCA	-0.650443636	0.022008557	0.158454109
2759	Anaerofustis	alpha-MCA	-0.650443636	0.022008557	0.158454109
2762	Anaerofustis	Proline	0.631194403	0.027727285	0.174500879
2764	Anaerofustis	Leucine	0.670311818	0.017060444	0.140086374
2765	Anaerofustis	Isoleucine	0.631194403	0.027727285	0.174500879
2767	Anaerofustis	4-Aminobutyric acid	0.591312396	0.042867981	0.225321961
2768	Anaerofustis	Serine	0.853765578	0.000409831	0.031210198
2769	Anaerofustis	Threonine	0.601929265	0.038372079	0.212021607
2771	Anaerofustis	4-Hydroxyproline	0.694313843	0.012233935	0.120028493
2772	Anaerofustis	Lysine	0.776150526	0.002997366	0.068960472
2776	Anaerofustis	Adenine	0.773957299	0.003134567	0.068960472
2779	Anaerofustis	3-Indoleacetic acid	0.604267319	0.037429038	0.20817274
2786	Anaerofustis	Glucose	0.650443636	0.022008557	0.158454109
2869	uncultured Firmicutes bacterium	3-Indoleacetic acid	1	0	0
2877	uncultured Firmicutes bacterium	Mannose	0.630547668	0.027936319	0.174500879
